2RH1_ADRB2_1	 31-56 70-92 104-129 150-171 198-220 275-298 306-327 
2RH1_ADRB2_2	 31-56 70-92 104-129 150-171 198-220 275-298 306-327 
2Z73_OPSD_3	 32-57 72-97 106-131 152-172 197-221 262-286 295-317 
2Z73_OPSD_4	 32-57 72-97 106-131 152-172 197-221 262-286 295-317 
3ODU_CXCR4_5	 39-61 76-98 106-132 155-174 195-220 241-264 283-302 
3ODU_CXCR4_6	 39-61 76-98 106-132 155-174 195-220 241-264 283-302 
3OE8_CXCR4_7	 39-61 76-98 106-132 155-174 195-220 241-264 283-302 
3OE8_CXCR4_8	 39-61 76-98 106-132 155-174 195-220 241-264 283-302 
3OE9_CXCR4_9	 39-61 76-98 106-132 155-174 195-220 241-264 283-302 
3P0G_ADRB2_10	 1030-1056 1071-1096 1104-1129 1150-1171 1198-1220 1275-1298 1305-1326 
3RZE_HRH1_11	 30-50 64-88 98-123 145-164 187-211 416-439 449-470 
3UON_ACM2_12	 23-46 61-85 93-119 141-165 185-208 388-412 420-442 
3V2Y_S1PR1_13	 44-71 80-104 122-140 157-180 201-222 257-280 292-314 
3V2Y_S1PR1_14	 44-71 80-104 122-140 157-180 201-222 257-280 292-314 
4BVN_ADRB1_15	 39-64 78-103 112-137 159-182 205-228 292-315 322-344 
4DJH_OPRK_16	 58-85 94-117 129-155 174-196 225-250 275-296 310-333 
4DKL_OPRM_17	 67-91 105-129 138-163 184-205 229-253 282-305 313-336 
4DKL_OPRM_18	 67-91 105-129 138-163 184-205 229-253 282-305 313-336 
4JKV_SMO_59	 232-254 262-285 315-339 361-378 401-424 452-472 515-536 
4K5Y_CRFR1_19	 118-142 153-176 186-215 228-249 268-292 311-330 346-366 
4MBS_CCR5_20	 32-57 64-87 99-127 143-165 189-216 234-257 278-301 
4NTJ_P2Y12_21	 22-48 61-85 96-120 140-160 186-211 238-261 278-298 
4NTJ_P2Y12_22	 22-48 61-85 96-120 140-160 186-211 238-261 278-298 
4O9R_SMO_60	 233-254 264-285 313-337 359-378 398-424 450-471 519-536 
4OR2_GRM1_23	 591-615 629-649 655-680 706-727 750-773 786-806 812-832 
4QIM_SMO_61	 233-254 264-285 313-337 359-378 398-424 450-471 519-536 
4U15_ACM3_24	 65-90 105-129 138-163 185-206 230-251 492-515 522-543 
4UG2_AA2AR_25	 8-29 43-67 79-100 119-141 175-198 234-255 268-288 
4X1H_OPSD_26	 35-60 73-99 109-134 151-173 202-224 253-274 286-309 
4XEE_NTR1_27	 61-86 105-129 144-165 189-206 233-258 312-330 350-369 
4XNV_P2RY1_28	 52-78 85-109 122-148 167-187 216-241 259-282 304-327 
4XNV_P2RY1_29	 52-78 85-109 122-148 167-187 216-241 259-282 304-327 
4XNW_P2RY1_30	 52-78 85-109 122-148 167-189 214-239 259-282 304-327 
4XT1_US28_31	 32-56 70-91 104-127 144-165 184-208 230-253 271-293 
4XT1_US28_32	 32-56 70-91 104-127 144-165 184-208 230-253 271-293 
4XT3_US28_33	 33-60 68-91 104-127 144-165 183-209 229-253 271-293 
4XT3_US28_34	 33-60 68-91 104-127 144-165 183-209 229-253 271-293 
4Z35_LPAR1_35	 47-72 86-109 122-148 162-184 206-229 258-280 291-313 
4Z9G_CRFR1_62	 118-142 152-176 186-214 228-251 268-292 312-331 342-366 
4ZUD_AGTR1_36	 26-55 62-89 99-125 142-165 191-216 240-268 279-304 
4ZUD_AGTR1_37	 26-55 62-89 99-125 142-165 191-216 240-268 279-304 
5A8E_ADRB1_63	 38-64 78-103 112-137 158-179 206-228 293-315 322-343 
5C1M_OPRM_38	 65-91 105-130 137-163 184-205 227-254 281-305 312-338 
5EE7_GLR_64	 141-164 174-197 221-250 264-288 305-327 347-369 384-403 
5F8U_ADRB1_39	 41-64 78-103 112-137 158-182 206-228 291-315 322-344 
5F8U_ADRB1_40	 41-64 78-103 112-137 158-182 206-228 291-315 322-344 
5GLH_EDNRB_41	 99-127 137-163 172-197 218-239 269-295 324-348 363-389 
5IU4_AA2AR_42	 2-25 43-68 76-101 119-141 174-199 235-256 267-288 
5IU4_AA2AR_43	 2-25 43-68 76-101 119-141 174-199 235-256 267-288 
5JQH_ADRB2_44	 31-56 70-95 104-129 150-171 198-220 247-270 277-298 
5LWE_CCR9_45	 46-71 84-107 119-142 164-185 212-238 255-279 294-319 
5LWE_CCR9_46	 46-71 84-107 119-142 164-185 212-238 255-279 294-319 
5LWE_CCR9_47	 46-71 84-107 119-142 164-185 212-238 255-279 294-319 
5NDD_PAR2_65	 77-98 109-133 150-172 188-209 241-263 287-308 326-344 
5NJ6_PAR2_66	 77-98 109-133 150-172 188-209 241-263 287-308 326-344 
5NJ6_PAR2_67	 77-98 109-133 150-172 188-209 241-263 287-308 326-344 
5NM4_AA2AR_68	 2-25 43-68 76-101 119-141 174-199 235-256 267-288 
5NM4_AA2AR_69	 2-25 43-68 76-101 119-141 174-199 235-256 267-288 
5O9H_C5AR1_70	 35-64 71-94 107-133 151-174 198-224 242-267 281-304 
5O9H_C5AR1_71	 35-64 71-94 107-133 151-174 198-224 242-267 281-304 
5OLO_AA2AR_72	 2-25 43-68 76-101 119-141 174-199 235-256 267-288 
5T04_NTR1_48	 65-87 106-126 144-165 187-207 234-258 310-330 349-369 
